Country Name,Country Code,precip_mm,agri_land_pct,cereal_yield_kgph,crop_index_2014_2016_100,irrigated_agri_pct,capture_fish_t,aquaculture_t,cereal_production_t,cereal_area_ha,fish_total_t,food_index_2014_2016_100,fertilizer_consump_pct_of_prod
Afghanistan,AFG,327.0,58.741548226852494,2193.4,121.34,5.828308929084123,2000.0,11150.0,4802495.0,2189504.0,13150.0,111.43,248.02281130538324
Albania,ALB,1485.0,41.44525547445255,5200.7,121.68,16.792884818598097,8891.5,8908.0,690850.0,132839.0,17799.5,105.4,
Algeria,DZA,89.0,17.351348174024032,1408.0,118.19,,80790.0,5208.0,4093798.53,2907618.0,85998.0,111.22,14.475641502417256
Andorra,AND,,39.9068085106383,,,,0.0,0.0,,,0.0,,
Angola,AGO,1010.0,36.94714045079009,1033.0,122.45,,539289.4,2336.0,3179113.0,3077676.0,541625.4,124.09,
Antigua and Barbuda,ATG,1030.0,20.454545454545457,2040.8,81.72,,3230.0,20.0,47.45,23.0,3250.0,89.95,
Argentina,ARG,591.0,43.427644344079894,5070.0,107.33,,885797.718,6022.03,91584261.2,18063981.0,891819.748,109.39,464.8637340665669
Armenia,ARM,562.0,58.613420941389414,2185.8,73.65,9.431873184898354,999.999,24000.0,239505.3,109574.0,24999.999,83.87,
Aruba,ABW,,11.11111111111111,,,,172.0,1.5,,,173.5,,
Australia,AUS,534.0,47.25923749548233,2880.6,146.08,0.5350476866408633,203797.213,125280.531,56306582.26,19546611.0,329077.744,112.1,337.1803747224007
Austria,AUT,1110.0,31.476583858458557,6895.5,100.31,,350.0,4718.718,5205750.0,754950.0,5068.718,100.45,
Azerbaijan,AZE,447.0,57.84029038112523,3162.9,144.86,30.735278736533832,56589.65,3348.35,3055969.7,966183.0,59938.0,129.02,31.243620874948324
"Bahamas, The",BHS,1292.0,1.2987012987012987,7515.9,102.18,,9345.212,1.0,615.55,82.0,9346.212,99.17,
Bahrain,BHR,83.0,10.253164556962027,,106.87,,19836.587,56.0,,,19892.587,129.17,0.06161333546061481
Bangladesh,BGD,2666.0,72.37064332872716,5005.3,119.1,88.77691736501538,2027660.999,2731563.0,62549531.82,12496558.0,4759223.999,125.2,665.6406709320422
Barbados,BRB,1422.0,23.25581395348837,2793.8,108.33,,855.577,5.5,51.0,18.0,861.077,102.71,
Belarus,BLR,618.0,39.87388541307453,3386.3,93.16,0.32122559920929084,356.0,7164.4,7748343.68,2288166.0,7520.4,102.53,12.539581390487967
