Station number,Station name,Region,Rainfall (mm),Mean,Percentile,Years of data,Latitude (°),Longitude (°),Elevation (m)
72043,TUMBARUMBA POST OFFICE,NSW,2971.5,2930.2,54.9,123,-35.78,148.01,645
9518,CAPE LEEUWIN,WA,2091.0,2851.6,3.3,123,-34.37,115.14,13
87043,MEREDITH (DARRA),VIC,1850.2,1972.6,33.6,123,-37.82,144.15,362
43020,MITCHELL POST OFFICE,QLD,1823.7,1700.4,68.8,123,-26.49,147.98,337
52020,MUNGINDI POST OFFICE,NSW,1670.4,1505.6,78.7,123,-28.98,148.99,160
35069,TAMBO POST OFFICE,QLD,1602.4,1572.0,56.6,123,-24.88,146.26,395
48168,ANGLEDOOL (ANGLEDOOL STATION),NSW,1505.2,1370.8,68.0,123,-29.12,147.90,150
80023,KERANG,VIC,1311.3,1132.4,84.4,123,-35.72,143.92,82
49002,BALRANALD (RSL),NSW,1115.0,982.0,77.9,123,-34.64,143.56,61
10515,BEVERLEY,WA,1021.2,1264.4,6.6,123,-32.11,116.92,199
18014,CLEVE,SA,982.5,1212.1,8.2,123,-33.70,136.49,193
5008,MARDIE,WA,782.2,857.8,40.2,123,-21.19,115.98,11
61010,CLARENCE TOWN (PRINCE ST),NSW,3502.3,3207.9,73.1,120,-32.59,151.77,24
33076,YAAMBA,QLD,2533.0,2541.3,57.1,120,-23.13,150.37,19
86117,TOOROURRONG RESERVOIR (TOOROURRONG),VIC,2287.6,2371.6,35.3,120,-37.48,145.15,219
41013,CANNING DOWNS,QLD,2286.5,2015.8,74.8,120,-28.23,152.07,456
23733,MOUNT BARKER,SA,2109.6,2276.6,23.5,120,-35.07,138.85,359
50031,PEAK HILL POST OFFICE,NSW,1924.8,1705.3,76.5,120,-32.72,148.19,285
26026,ROBE,SA,1647.6,1908.1,5.9,120,-37.16,139.76,3
88015,CLUNES,VIC,1641.2,1768.8,33.6,120,-37.30,143.78,332
94029,HOBART (ELLERSLIE ROAD),TAS,1600.4,1839.6,12.6,120,-42.89,147.33,51
88043,MARYBOROUGH,VIC,1582.9,1597.8,48.7,120,-37.06,143.73,249
21010,BRINKWORTH (BUNGAREE),SA,1416.2,1732.4,5.9,120,-33.75,138.56,368
23307,KAPUNDA,SA,1325.6,1470.8,14.3,120,-34.34,138.92,245
10626,PINGELLY,WA,1164.4,1342.1,12.6,120,-32.53,117.08,297
10614,NARROGIN,WA,1149.2,1477.0,0.8,120,-32.93,117.18,338
24518,MENINGIE,SA,1117.3,1399.5,4.2,120,-35.69,139.34,3
19037,PORT GERMEIN,SA,895.1,990.6,27.7,120,-33.02,138.00,4
47019,MENINDEE POST OFFICE,NSW,889.8,738.0,79.0,120,-32.39,142.42,61
24013,LOXTON (PYAP),SA,802.8,785.7,58.8,120,-34.44,140.50,40
88029,HEATHCOTE,VIC,2008.0,1725.7,83.0,119,-36.96,144.70,311
22023,YORKETOWN,SA,977.0,1233.4,0.0,119,-35.02,137.60,20
82042,STRATHBOGIE,VIC,2706.6,2890.0,35.0,118,-36.85,145.73,501
75049,MAUDE (NAP NAP),NSW,1207.2,965.1,87.2,118,-34.45,144.17,75
21029,KOOLUNGA,SA,1091.4,1177.1,30.8,118,-33.59,138.33,125
7017,CUE,WA,639.7,702.2,32.5,118,-27.43,117.89,453
40043,CAPE MORETON LIGHTHOUSE,QLD,4221.6,4297.7,43.1,117,-27.03,153.47,100
69018,MORUYA HEADS PILOT STATION,NSW,3038.4,2872.3,66.4,117,-35.91,150.15,17
85096,WILSONS PROMONTORY LIGHTHOUSE,VIC,3033.8,3139.3,42.2,117,-39.13,146.42,95
84016,GABO ISLAND LIGHTHOUSE,VIC,2798.0,2776.1,59.5,117,-37.57,149.92,15
41022,DALVEEN,QLD,2719.3,2563.1,70.7,117,-28.50,151.97,904
68007,CAMDEN (BROWNLOW HILL),NSW,2437.2,2250.0,73.3,117,-34.03,150.65,61
35016,CAPELLA POST OFFICE,QLD,2310.4,1751.3,90.5,117,-23.09,148.02,228
90021,COBDEN (POST OFFICE),VIC,2134.9,2523.3,3.5,117,-38.33,143.08,134
70005,BOMBALA (THERRY STREET),NSW,2120.0,1974.8,69.8,117,-36.91,149.24,705
9519,CAPE NATURALISTE,WA,2084.8,2378.7,18.1,117,-33.54,115.02,109
41082,PITTSWORTH,QLD,2036.9,2057.7,47.4,117,-27.72,151.64,520
90062,PENSHURST (THE GUMS),VIC,1961.4,1996.7,42.2,117,-37.88,142.42,205
81085,DUNOLLY,VIC,1675.4,1481.5,78.5,117,-36.86,143.73,210
89103,DERRINALLUM (CRAIGMORE),VIC,1668.8,1709.4,40.5,117,-37.97,143.22,173
44010,BOLLON MARY ST,QLD,1514.3,1378.9,75.0,117,-28.03,147.48,183
36007,BARCALDINE POST OFFICE,QLD,1398.5,1479.3,43.1,117,-23.55,145.29,267
24573,TRURO,SA,1309.6,1485.4,18.1,117,-34.41,139.13,344
23318,TANUNDA,SA,1296.5,1621.3,5.2,117,-34.51,138.96,249
25507,KEITH,SA,1294.0,1377.7,26.7,117,-36.10,140.36,29
18069,ELLISTON,SA,1203.2,1287.2,25.9,117,-33.65,134.89,7
10647,WAGIN,WA,997.0,1301.1,0.9,117,-33.31,117.34,256
19062,YONGALA,SA,940.5,1100.0,19.8,117,-33.03,138.76,521
19001,APPILA,SA,931.8,1156.8,6.9,117,-33.05,138.43,369
24521,MURRAY BRIDGE,SA,918.0,1042.7,15.5,117,-35.12,139.26,33
16055,YARDEA,SA,846.2,835.8,58.6,117,-32.38,135.52,260
10092,MERREDIN,WA,837.8,976.2,15.5,117,-31.48,118.28,315
10041,DOONGIN PEAK,WA,835.1,975.5,12.1,117,-31.62,117.44,250
19017,HAWKER,SA,821.9,917.4,35.3,117,-31.90,138.44,340
