Series Name,Series Code,Country Name,Country Code,Year,Value
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Afghanistan,AFG,2014,327.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Albania,ALB,2014,1485.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Algeria,DZA,2014,89.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,American Samoa,ASM,2014,
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Andorra,AND,2014,
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Angola,AGO,2014,1010.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Antigua and Barbuda,ATG,2014,1030.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Argentina,ARG,2014,591.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Armenia,ARM,2014,562.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Aruba,ABW,2014,
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Australia,AUS,2014,534.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Austria,AUT,2014,1110.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Azerbaijan,AZE,2014,447.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,"Bahamas, The",BHS,2014,1292.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Bahrain,BHR,2014,83.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Bangladesh,BGD,2014,2666.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Barbados,BRB,2014,1422.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Belarus,BLR,2014,618.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Belgium,BEL,2014,847.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Belize,BLZ,2014,1705.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Benin,BEN,2014,1039.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Bermuda,BMU,2014,
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Bhutan,BTN,2014,2200.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Bolivia,BOL,2014,1146.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Bosnia and Herzegovina,BIH,2014,1028.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Botswana,BWA,2014,416.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Brazil,BRA,2014,1761.0
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,British Virgin Islands,VGB,2014,
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Brunei Darussalam,BRN,2014,2722.0
